soil_type,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,ph,season,crop_label
Loamy,66,71,40,32.98,64.33,89.84,6.36,Zaid,Groundnut
Red,95,30,41,23.1,85.92,149.01,6.77,Zaid,Rice
Sandy,80,34,36,23.47,65.24,234.03,7.12,Rabi,Sugarcane
Loamy,54,67,64,24.37,49.01,88.14,5.72,Rabi,Wheat
Red,58,73,21,19.47,61.23,188.09,6.9,Rabi,Groundnut
Clay,95,50,36,20.73,54.33,116.29,6.03,Rabi,Wheat
Loamy,94,64,53,22.77,49.65,213.36,6.76,Rabi,Cotton
Red,71,54,42,26.2,62.79,163.27,7.34,Rabi,Wheat
Red,77,57,64,25.82,60.5,158.12,6.31,Kharif,Wheat
Loamy,86,64,20,33.12,70.42,59.07,5.5,Rabi,Wheat
Black,69,71,49,24.21,85.28,218.18,7.19,Rabi,Rice
Red,49,56,32,19.97,83.8,257.43,7.37,Kharif,Groundnut
Red,51,20,53,32.93,40.75,282.56,6.27,Zaid,Rice
Loamy,60,55,40,25.97,61.96,70.76,6.85,Zaid,Cotton
Loamy,50,44,42,26.9,40.63,277.59,5.66,Kharif,Cotton
Clay,86,45,24,25.5,43.84,125.34,7.3,Zaid,Maize
Loamy,40,44,49,21.57,71.35,153.24,6.6,Kharif,Soybean
Sandy,60,63,55,30.05,57.58,155.6,6.6,Zaid,Sugarcane
Red,91,36,33,29.09,62.59,213.74,5.77,Kharif,Groundnut
Sandy,55,35,43,30.59,69.86,177.45,5.6,Kharif,Rice
Loamy,51,76,28,34.58,63.67,71.57,5.94,Rabi,Maize
Sandy,58,57,44,22.05,48.04,214.08,7.08,Kharif,Rice
Black,52,48,25,30.58,48.44,298.32,6.29,Rabi,Wheat
Loamy,84,31,30,34.0,49.75,210.04,5.98,Zaid,Rice
Clay,96,28,40,22.67,87.68,296.12,7.11,Zaid,Soybean
Red,79,46,39,20.85,82.39,169.04,6.21,Kharif,Wheat
Clay,60,53,66,30.77,55.72,120.09,7.49,Zaid,Wheat
Black,45,24,46,27.67,43.79,56.45,5.66,Kharif,Maize
Sandy,85,44,25,34.68,84.41,158.68,7.31,Kharif,Wheat
Loamy,61,61,62,25.34,67.54,58.53,6.55,Zaid,Cotton
Black,84,68,45,24.61,59.89,185.01,7.13,Zaid,Sugarcane
Sandy,68,41,65,28.19,88.5,99.59,6.77,Kharif,Sugarcane
Sandy,44,31,47,26.15,85.28,209.99,6.32,Kharif,Cotton
Loamy,58,49,45,33.45,66.51,133.99,7.18,Kharif,Rice
Clay,72,30,58,19.34,67.07,152.94,7.48,Zaid,Soybean
Red,67,55,59,19.8,81.25,71.25,7.24,Zaid,Soybean
Loamy,45,33,34,32.01,49.12,268.59,5.65,Rabi,Maize
Sandy,91,72,56,26.36,79.04,222.52,5.84,Rabi,Groundnut
Loamy,71,33,46,27.4,74.8,285.16,5.97,Zaid,Groundnut
Black,60,62,37,32.42,89.39,221.07,6.65,Rabi,Wheat
Sandy,75,44,57,32.88,83.85,203.36,7.25,Zaid,Maize
Red,71,43,63,31.41,55.2,240.89,7.2,Rabi,Soybean
Loamy,82,58,61,20.06,82.59,109.22,6.15,Kharif,Soybean
Black,61,47,46,31.36,59.79,73.74,6.46,Rabi,Maize
Black,86,52,28,28.62,53.31,117.18,6.58,Zaid,Wheat
Red,81,77,43,20.85,77.19,146.45,6.77,Kharif,Sugarcane
Loamy,72,61,28,31.16,85.32,262.59,5.62,Kharif,Wheat
Sandy,94,35,56,32.76,48.06,89.11,5.65,Zaid,Wheat
Sandy,70,56,37,20.76,73.29,279.01,5.95,Zaid,Soybean
Loamy,53,53,62,20.65,70.59,130.29,6.58,Zaid,Rice
Red,89,33,49,27.39,58.31,203.92,7.36,Rabi,Cotton
Black,43,55,33,26.46,84.15,244.62,5.58,Rabi,Soybean
Red,78,28,62,24.42,41.91,190.73,7.42,Rabi,Cotton
Loamy,90,49,58,28.87,48.76,258.2,7.36,Zaid,Sugarcane
Red,85,70,58,28.16,59.9,175.48,6.02,Rabi,Wheat
Loamy,77,43,27,22.97,76.61,217.65,5.76,Rabi,Cotton
Sandy,45,52,66,31.02,62.29,101.11,6.15,Rabi,Maize
Black,65,22,63,19.56,83.05,281.48,7.47,Rabi,Soybean
Black,97,72,59,24.23,58.44,111.54,6.5,Kharif,Cotton
Loamy,90,33,30,21.78,75.0,206.7,5.92,Zaid,Sugarcane
Clay,87,56,64,25.08,81.9,86.95,6.53,Rabi,Rice
Sandy,77,74,66,22.5,67.07,106.37,6.69,Rabi,Groundnut
Black,69,70,45,26.87,46.81,290.7,6.34,Kharif,Soybean
Loamy,86,44,28,20.4,59.33,251.47,7.29,Kharif,Wheat
Sandy,58,55,49,28.75,60.78,132.44,5.61,Kharif,Cotton
Sandy,94,27,54,26.36,57.4,178.09,5.83,Rabi,Sugarcane
Red,90,69,37,29.67,57.66,97.66,6.88,Zaid,Rice
Clay,73,23,53,22.88,68.21,210.75,5.65,Kharif,Maize
Red,74,78,24,28.53,89.04,245.21,6.21,Zaid,Rice
Clay,70,63,48,30.43,65.79,153.7,5.84,Kharif,Rice
Red,94,67,48,31.74,41.63,119.2,6.15,Zaid,Sugarcane
Black,80,32,66,23.42,63.96,218.88,6.08,Rabi,Wheat
Red,66,46,61,33.98,50.68,172.26,6.52,Zaid,Maize
Black,94,38,68,25.83,73.44,144.56,6.33,Rabi,Groundnut
Clay,75,23,61,28.38,45.0,61.2,7.43,Zaid,Maize
Sandy,76,78,45,26.24,85.84,137.44,6.38,Zaid,Wheat
Black,58,52,37,24.25,84.1,124.39,6.48,Rabi,Rice
Sandy,64,57,44,22.28,66.2,206.67,5.71,Zaid,Wheat
Loamy,46,35,61,28.86,84.13,223.69,7.19,Zaid,Soybean
Red,72,72,62,34.76,89.02,101.01,5.92,Rabi,Groundnut
Loamy,56,49,33,20.36,60.77,208.53,6.09,Zaid,Cotton
Clay,93,54,33,20.48,67.27,225.57,5.73,Rabi,Cotton
Sandy,81,41,55,19.01,85.89,121.87,7.17,Zaid,Sugarcane
Black,47,66,63,34.95,80.92,177.65,6.02,Kharif,Cotton
Sandy,69,48,68,26.33,57.12,139.74,6.65,Rabi,Wheat
Clay,95,77,51,24.74,88.01,96.46,7.02,Kharif,Soybean
Sandy,81,35,44,22.61,67.47,50.34,6.33,Rabi,Maize
Loamy,86,38,42,23.71,68.48,68.46,6.04,Zaid,Cotton
Loamy,50,21,67,30.31,42.97,213.72,7.37,Zaid,Maize
Clay,83,59,51,22.37,65.36,109.14,6.17,Rabi,Groundnut
Red,91,49,44,28.8,70.61,174.35,5.85,Kharif,Soybean
Black,53,75,33,34.58,53.11,293.4,7.3,Rabi,Wheat
Sandy,56,34,45,22.25,81.8,291.24,7.25,Rabi,Cotton
Sandy,81,64,23,32.37,81.52,299.04,6.15,Zaid,Maize
Clay,44,60,23,19.22,61.22,89.6,7.48,Kharif,Soybean
Sandy,71,26,59,32.99,50.4,145.25,5.53,Zaid,Cotton
Clay,90,51,30,30.52,40.06,184.98,6.4,Kharif,Maize
Clay,93,75,23,25.94,44.32,75.07,7.1,Rabi,Groundnut
Sandy,54,27,31,22.57,57.39,180.53,6.25,Rabi,Maize
Loamy,81,33,20,33.67,46.83,248.15,5.97,Rabi,Groundnut
Loamy,40,43,23,23.43,55.69,258.32,6.15,Kharif,Groundnut
Loamy,96,48,31,21.11,77.45,262.58,7.49,Kharif,Cotton
Black,87,27,23,19.24,80.56,188.01,6.93,Rabi,Maize
Red,84,44,44,34.67,52.8,160.7,6.33,Kharif,Wheat
Red,95,46,48,30.69,73.93,164.46,6.87,Zaid,Soybean
Red,96,27,29,30.27,88.51,66.49,6.7,Zaid,Soybean
Black,96,55,53,26.43,41.25,205.45,6.36,Rabi,Rice
Black,40,48,45,30.63,77.64,185.22,6.68,Rabi,Maize
Clay,83,65,63,31.47,53.75,135.29,7.21,Zaid,Groundnut
Loamy,83,72,60,23.92,80.48,285.48,5.59,Zaid,Soybean
Loamy,55,74,23,25.23,51.6,244.09,6.4,Kharif,Rice
Loamy,71,59,54,18.66,76.11,70.51,7.21,Kharif,Wheat
Clay,44,28,63,32.55,84.48,254.42,6.03,Rabi,Soybean
Red,46,41,68,34.74,48.55,286.04,5.65,Zaid,Sugarcane
Loamy,61,72,68,27.29,88.89,109.86,6.08,Zaid,Cotton
Red,52,66,58,19.03,77.91,120.53,5.78,Zaid,Wheat
Sandy,69,66,45,23.17,89.83,172.51,5.91,Rabi,Soybean
Clay,97,74,35,21.35,76.86,179.79,7.25,Zaid,Rice
Loamy,78,24,63,30.06,75.82,63.14,5.79,Kharif,Cotton
Clay,55,22,37,27.91,66.46,218.69,5.81,Rabi,Soybean
Sandy,64,59,55,23.01,79.45,70.45,6.78,Zaid,Cotton
Red,92,61,51,28.32,68.55,175.07,6.64,Rabi,Sugarcane
Loamy,41,52,43,25.56,40.78,148.5,5.57,Rabi,Rice
Loamy,78,21,49,27.55,67.9,231.74,7.19,Rabi,Rice
Clay,67,65,29,19.15,51.2,282.23,6.09,Zaid,Wheat
Loamy,42,61,40,22.6,83.62,270.54,6.01,Rabi,Groundnut
Clay,49,30,30,31.92,47.74,213.92,6.51,Kharif,Groundnut
Loamy,76,21,37,29.38,52.58,125.1,6.22,Zaid,Sugarcane
Red,97,45,34,19.94,48.16,229.96,6.24,Rabi,Sugarcane
Loamy,44,23,61,29.79,64.33,50.12,6.9,Zaid,Sugarcane
Red,83,68,58,20.74,49.93,55.68,5.81,Kharif,Groundnut
Black,80,65,52,22.17,43.17,63.05,6.18,Zaid,Soybean
Red,63,58,52,29.42,53.67,106.42,5.7,Zaid,Cotton
Red,57,78,41,33.34,81.83,298.76,5.62,Kharif,Maize
Loamy,71,73,40,21.3,89.64,105.3,6.71,Kharif,Wheat
Sandy,65,29,39,18.19,78.14,137.04,6.82,Kharif,Soybean
Loamy,72,37,64,23.88,84.22,229.0,7.16,Rabi,Soybean
Loamy,86,65,41,30.04,55.45,61.53,6.04,Zaid,Groundnut
Sandy,52,23,49,32.78,63.73,227.94,6.81,Kharif,Groundnut
Black,45,48,65,29.85,74.58,268.26,5.81,Zaid,Wheat
Red,40,65,23,21.51,80.74,109.81,6.05,Zaid,Groundnut
Clay,41,76,62,28.84,73.4,196.49,7.28,Rabi,Sugarcane
Clay,43,39,37,29.0,80.98,74.42,6.46,Zaid,Sugarcane
Loamy,71,79,24,29.96,61.74,150.09,7.05,Kharif,Rice
Black,81,29,48,31.37,55.38,210.06,5.99,Kharif,Wheat
Loamy,98,60,58,33.51,54.76,271.53,6.57,Zaid,Soybean
Clay,86,59,30,33.41,48.81,236.01,6.77,Kharif,Maize
Loamy,66,24,20,21.23,44.61,110.78,6.37,Zaid,Rice
Loamy,99,72,24,19.69,76.81,257.16,6.62,Rabi,Cotton
Red,75,64,49,30.05,40.83,221.44,5.89,Kharif,Groundnut
Black,89,27,35,30.72,78.8,293.25,6.87,Zaid,Cotton
Black,78,57,51,32.18,40.9,77.92,5.74,Kharif,Sugarcane
Sandy,49,46,44,20.37,82.14,127.58,5.59,Zaid,Sugarcane
Loamy,98,53,41,22.36,84.52,57.47,6.44,Zaid,Groundnut
Clay,64,46,59,31.21,75.35,288.14,5.61,Zaid,Maize
Clay,83,63,20,18.5,46.22,259.21,5.55,Rabi,Sugarcane
Loamy,67,57,29,31.02,40.34,140.53,5.7,Kharif,Sugarcane
Sandy,67,55,57,20.9,50.72,141.47,6.13,Rabi,Wheat
Loamy,86,41,24,23.22,74.58,191.87,6.31,Zaid,Soybean
Clay,58,76,51,23.02,69.31,52.03,5.64,Zaid,Soybean
Loamy,68,51,36,31.06,42.5,121.2,7.45,Kharif,Wheat
Clay,62,70,31,31.36,71.11,169.66,6.18,Zaid,Groundnut
Sandy,84,28,42,20.28,58.35,56.84,5.79,Zaid,Sugarcane
Sandy,92,40,37,31.25,87.36,147.03,6.4,Zaid,Sugarcane
Red,54,53,43,29.05,54.96,57.72,7.38,Zaid,Rice
Black,75,62,57,33.59,71.13,191.92,6.64,Kharif,Maize
Clay,40,55,48,34.22,62.63,249.73,7.37,Zaid,Soybean
Black,71,30,37,26.83,43.53,124.61,7.21,Zaid,Groundnut
Sandy,80,21,65,27.88,54.74,182.25,6.99,Rabi,Sugarcane
Black,87,54,33,23.71,71.65,187.93,6.0,Kharif,Rice
Red,44,44,38,18.13,65.33,174.9,5.68,Rabi,Cotton
Clay,55,36,63,19.86,72.18,267.32,7.45,Zaid,Soybean
Black,76,27,37,23.58,81.31,158.29,6.07,Zaid,Soybean
Red,64,34,60,25.32,83.21,228.14,6.78,Kharif,Soybean
Black,45,54,20,34.17,67.54,74.27,5.6,Rabi,Cotton
Red,54,20,31,34.37,71.76,127.41,6.05,Zaid,Wheat
Sandy,43,30,24,18.28,49.17,115.93,6.11,Zaid,Soybean
Loamy,47,25,22,21.33,57.82,81.14,5.96,Kharif,Groundnut
Black,73,58,25,20.46,88.07,225.78,6.75,Kharif,Rice
Loamy,65,39,47,32.56,47.2,100.15,6.58,Kharif,Soybean
Black,56,67,28,23.72,45.31,199.23,6.74,Rabi,Groundnut
Sandy,75,58,62,29.4,85.92,282.28,7.09,Zaid,Rice
Loamy,86,63,23,19.17,76.26,241.92,6.93,Zaid,Rice
Clay,66,44,49,31.42,48.09,81.76,6.78,Rabi,Soybean
Sandy,62,55,39,32.62,60.58,138.8,5.82,Rabi,Wheat
Black,43,62,69,32.03,77.68,88.49,6.02,Rabi,Cotton
Clay,76,39,48,24.82,74.3,283.36,6.94,Rabi,Maize
Black,70,36,60,27.56,89.09,103.49,5.74,Zaid,Wheat
Clay,86,36,45,22.05,56.67,86.88,6.68,Zaid,Groundnut
Black,92,61,57,24.97,75.84,178.38,5.89,Rabi,Maize
Sandy,59,43,31,19.36,75.95,289.33,6.43,Zaid,Wheat
Clay,45,44,60,33.81,74.9,219.87,6.39,Zaid,Groundnut
Sandy,43,27,20,20.16,40.39,55.72,5.96,Rabi,Groundnut
Sandy,91,69,68,26.18,82.77,156.06,5.51,Rabi,Maize
Black,42,30,26,25.71,71.55,53.13,6.54,Zaid,Cotton
Red,70,27,47,18.43,77.68,238.78,5.96,Rabi,Soybean
Sandy,97,77,59,33.45,49.51,200.05,7.49,Kharif,Soybean
Black,86,41,43,33.18,56.41,165.05,5.73,Zaid,Wheat
Black,82,36,40,28.46,71.83,98.46,6.1,Kharif,Maize
Clay,68,66,51,20.54,72.04,202.38,6.02,Zaid,Maize
Clay,72,29,57,18.8,40.43,265.14,5.62,Kharif,Cotton
Red,45,78,31,24.19,54.43,251.65,6.93,Zaid,Sugarcane
Clay,54,48,68,30.08,49.12,203.77,6.02,Zaid,Soybean
Red,82,64,48,34.43,61.49,223.69,7.08,Kharif,Soybean
Red,59,27,40,19.09,56.44,87.02,6.49,Kharif,Rice
Red,55,52,46,27.71,57.82,219.56,7.16,Zaid,Sugarcane
Red,97,32,59,22.97,50.4,195.55,5.74,Kharif,Sugarcane
Red,82,66,37,29.63,83.02,284.7,6.85,Kharif,Rice
Loamy,91,60,60,29.76,75.62,280.05,6.79,Rabi,Sugarcane
Loamy,43,45,52,34.78,86.35,248.94,6.7,Rabi,Sugarcane
Black,43,43,54,21.97,88.07,208.95,5.52,Kharif,Sugarcane
Clay,69,71,43,25.25,65.74,142.83,7.38,Kharif,Wheat
Loamy,93,38,62,27.94,44.33,92.93,6.46,Zaid,Groundnut
Sandy,58,38,47,25.53,82.43,55.14,7.37,Kharif,Soybean
Sandy,74,65,48,27.81,51.92,194.21,6.24,Kharif,Wheat
Black,52,25,56,24.45,80.12,102.91,6.73,Rabi,Maize
Black,83,34,60,26.86,71.39,169.63,5.63,Kharif,Soybean
Loamy,59,20,33,27.03,74.73,285.67,7.26,Rabi,Cotton
Red,43,78,51,21.86,87.76,180.56,6.2,Kharif,Rice
Black,47,61,62,25.0,84.7,206.32,7.48,Rabi,Groundnut
Clay,96,24,46,34.76,74.43,87.45,6.19,Kharif,Cotton
Loamy,97,56,60,29.39,63.53,272.52,6.06,Rabi,Cotton
Sandy,40,51,23,25.1,58.12,115.27,5.56,Rabi,Rice
Black,71,42,23,30.71,76.7,254.45,5.68,Kharif,Wheat
Loamy,64,54,38,28.28,70.75,122.7,6.28,Rabi,Wheat
Clay,57,41,47,19.16,44.85,278.16,5.72,Zaid,Soybean
Red,55,22,35,26.49,58.27,134.77,6.67,Zaid,Rice
Clay,97,34,34,30.11,77.57,122.95,7.46,Kharif,Rice
Black,97,63,27,28.34,60.45,147.17,6.97,Kharif,Rice
Clay,66,40,31,22.15,86.37,229.02,5.64,Rabi,Maize
Red,91,77,50,22.82,61.5,236.86,5.75,Zaid,Wheat
Red,97,56,34,20.77,40.3,60.25,7.24,Kharif,Wheat
Red,64,31,30,20.21,86.42,52.34,7.19,Zaid,Sugarcane
Black,64,73,48,31.39,50.32,182.85,6.53,Zaid,Rice
Clay,86,44,62,21.09,56.15,204.15,5.99,Rabi,Rice
Loamy,97,22,51,32.59,76.0,187.69,6.45,Zaid,Cotton
Sandy,81,75,37,31.89,89.46,163.56,5.64,Kharif,Rice
Loamy,56,37,43,27.75,82.71,206.56,6.06,Rabi,Wheat
Clay,84,64,52,26.1,43.94,177.87,6.37,Rabi,Groundnut
Black,83,38,45,29.8,57.82,208.92,7.04,Zaid,Groundnut
Black,89,71,38,26.95,52.74,75.73,5.86,Kharif,Soybean
Red,40,30,44,32.22,84.08,240.24,6.65,Zaid,Rice
Red,80,59,57,20.71,72.78,54.01,7.02,Kharif,Maize
Red,74,50,31,23.77,45.27,261.59,6.9,Zaid,Groundnut
Sandy,57,52,42,34.47,69.85,75.06,7.25,Kharif,Soybean
Clay,75,22,47,31.69,72.14,218.38,7.49,Rabi,Groundnut
Black,68,52,44,26.63,43.59,101.76,6.3,Rabi,Soybean
Black,54,62,57,33.5,84.88,143.09,5.86,Kharif,Groundnut
Black,48,62,37,20.63,62.66,219.9,6.92,Zaid,Soybean
Red,98,66,68,20.86,45.18,200.15,7.03,Kharif,Maize
Loamy,98,51,27,22.27,46.78,133.7,6.88,Zaid,Groundnut
Black,63,51,66,29.71,86.15,99.18,7.27,Kharif,Wheat
Clay,93,43,24,34.52,62.54,151.01,5.83,Zaid,Soybean
Sandy,51,45,21,33.84,43.64,71.58,6.28,Rabi,Wheat
Red,59,65,38,31.76,45.1,207.71,6.6,Kharif,Wheat
Sandy,64,20,43,26.03,55.49,231.4,6.72,Zaid,Groundnut
Red,75,53,28,27.32,63.68,168.19,6.76,Zaid,Sugarcane
Black,66,42,38,31.98,68.63,189.91,5.92,Kharif,Wheat
Clay,52,77,32,33.38,50.78,207.0,5.99,Rabi,Soybean
Black,52,39,25,25.2,55.74,158.02,7.23,Rabi,Groundnut
Clay,81,32,41,28.19,87.71,118.57,6.69,Kharif,Sugarcane
Clay,95,41,39,33.86,77.55,60.38,7.43,Rabi,Wheat
Sandy,56,75,20,19.32,44.75,182.2,5.86,Rabi,Wheat
Loamy,97,38,26,26.97,40.56,165.28,6.55,Rabi,Groundnut
Black,71,49,55,20.54,75.49,86.24,6.21,Zaid,Cotton
Black,84,49,64,19.48,49.96,124.81,6.36,Kharif,Cotton
Loamy,98,73,54,24.15,56.24,136.08,6.41,Zaid,Sugarcane
Loamy,51,58,24,23.94,42.14,298.16,7.48,Rabi,Cotton
Sandy,73,53,27,27.62,79.16,245.3,7.42,Zaid,Wheat
Black,46,70,59,24.66,60.5,207.13,7.31,Rabi,Wheat
Loamy,83,54,44,20.83,67.51,109.43,6.6,Zaid,Cotton
Black,44,75,26,18.22,46.58,271.3,5.66,Rabi,Cotton
Sandy,53,74,45,29.74,51.02,243.59,7.42,Rabi,Soybean
Loamy,66,65,68,29.21,86.02,191.62,5.98,Rabi,Rice
Loamy,62,54,42,27.91,80.58,249.01,5.77,Zaid,Wheat
Black,82,32,37,24.44,43.24,157.2,5.79,Kharif,Soybean
Black,58,27,43,31.59,57.68,157.51,6.77,Zaid,Soybean
Loamy,63,40,58,29.76,46.77,182.61,7.17,Zaid,Soybean
Loamy,82,33,38,29.49,83.37,243.48,5.89,Kharif,Maize
Sandy,87,23,33,32.56,84.91,121.72,6.93,Zaid,Maize
Loamy,61,42,62,21.33,73.46,275.06,6.76,Rabi,Sugarcane
Black,48,28,42,29.38,88.6,292.31,6.42,Rabi,Wheat
Clay,93,25,52,30.16,51.9,180.85,7.43,Zaid,Rice
Loamy,86,20,55,20.85,53.19,179.24,6.58,Rabi,Soybean
Sandy,55,70,29,26.18,69.51,285.38,6.31,Zaid,Wheat
Loamy,80,44,40,21.76,84.67,90.69,6.84,Kharif,Groundnut
Clay,43,41,29,32.7,56.54,77.24,7.31,Rabi,Maize
Clay,64,36,51,24.33,60.78,290.33,5.7,Rabi,Wheat
Clay,65,41,40,18.74,55.54,59.19,7.45,Zaid,Rice
Clay,57,28,33,30.28,69.98,225.56,6.56,Rabi,Groundnut
Black,43,26,43,21.37,50.38,151.86,7.07,Zaid,Soybean
Sandy,84,32,47,29.9,76.11,248.98,5.57,Kharif,Cotton
Red,47,74,41,25.93,43.87,62.39,5.97,Kharif,Maize
Black,84,73,67,34.15,64.67,136.48,5.53,Kharif,Cotton
Black,90,44,45,19.82,53.32,145.18,6.24,Kharif,Cotton
Black,73,31,69,26.42,70.12,254.66,7.32,Rabi,Maize
Clay,87,66,34,23.2,48.56,54.43,7.48,Kharif,Wheat
Loamy,92,52,59,23.57,43.8,76.35,6.56,Zaid,Cotton
Black,52,40,48,27.25,60.12,246.98,7.35,Kharif,Sugarcane
Red,46,79,60,25.05,61.08,216.42,6.42,Kharif,Groundnut
Loamy,63,79,51,33.19,70.73,203.66,6.66,Rabi,Rice
Black,92,74,34,20.18,89.67,102.02,6.15,Rabi,Wheat
Loamy,92,59,41,18.77,57.92,221.24,6.37,Kharif,Rice
Black,87,51,57,26.43,65.01,123.7,6.91,Kharif,Maize
Red,68,48,27,28.22,43.5,253.32,5.54,Rabi,Maize
Clay,66,40,50,25.59,55.95,154.39,6.21,Rabi,Rice
Red,82,43,53,25.45,57.33,163.18,6.24,Rabi,Maize
Sandy,89,65,52,31.15,55.14,105.82,6.52,Zaid,Rice
Loamy,86,74,55,21.99,84.67,147.74,6.25,Zaid,Soybean
Black,93,28,41,30.71,79.42,236.89,7.34,Kharif,Rice
Sandy,94,51,29,30.72,78.89,67.59,7.48,Zaid,Groundnut
Loamy,84,74,41,26.36,60.21,181.79,7.42,Zaid,Soybean
Red,56,77,21,32.44,68.51,96.55,6.71,Zaid,Cotton
Clay,93,46,57,32.54,54.11,242.19,7.15,Kharif,Sugarcane
Black,82,39,47,27.8,49.85,214.67,6.12,Rabi,Soybean
Clay,96,51,63,33.01,68.86,56.56,6.93,Zaid,Cotton
Loamy,51,51,60,34.46,80.43,169.16,6.88,Rabi,Cotton
Clay,61,58,68,21.52,72.64,50.1,5.84,Rabi,Cotton
Loamy,67,40,23,34.82,62.29,281.83,7.16,Zaid,Rice
Red,62,56,49,20.07,45.11,94.36,7.43,Zaid,Rice
Clay,94,40,29,32.18,64.66,114.45,5.67,Rabi,Cotton
Red,40,53,54,28.57,72.8,84.58,5.98,Kharif,Rice
Sandy,82,71,28,21.92,67.51,213.89,6.61,Rabi,Rice
Black,89,28,46,26.75,62.93,276.21,7.17,Rabi,Cotton
Loamy,97,56,20,33.15,82.52,278.68,5.92,Rabi,Rice
Loamy,45,21,32,22.66,66.64,63.54,5.96,Zaid,Groundnut
Sandy,82,45,26,24.69,68.24,293.18,5.78,Kharif,Wheat
Loamy,46,37,30,25.42,83.19,275.38,6.41,Rabi,Wheat
Clay,56,67,44,31.25,86.3,83.79,5.86,Kharif,Maize
Red,91,23,25,32.65,60.72,75.0,6.02,Rabi,Maize
Clay,78,73,57,25.64,72.62,191.09,6.14,Rabi,Groundnut
Loamy,50,68,68,32.01,80.81,135.11,7.44,Kharif,Maize
Black,94,45,56,21.98,70.99,151.59,6.45,Zaid,Wheat
Red,61,34,22,32.81,77.83,241.73,7.31,Zaid,Wheat
Loamy,40,21,65,34.01,40.02,127.73,6.89,Zaid,Cotton
Loamy,65,42,48,29.81,43.9,150.18,6.57,Kharif,Rice
Loamy,80,52,42,24.57,83.52,184.94,6.07,Kharif,Groundnut
Loamy,52,23,47,27.14,87.37,62.11,7.21,Kharif,Soybean
Black,87,24,36,19.63,55.12,235.99,6.1,Zaid,Soybean
Red,50,73,24,22.46,45.97,66.8,7.36,Kharif,Maize
Black,92,38,33,18.26,72.18,117.94,6.84,Zaid,Soybean
Clay,46,31,60,18.9,57.75,264.71,6.08,Rabi,Maize
Red,47,57,66,32.31,67.4,140.59,7.24,Kharif,Cotton
Loamy,92,66,26,19.73,52.62,64.35,5.58,Rabi,Soybean
Red,44,48,49,22.21,60.44,72.74,7.16,Zaid,Soybean
Sandy,95,22,59,29.47,56.76,211.46,5.84,Rabi,Cotton
Red,56,72,45,30.92,73.26,98.95,6.18,Kharif,Sugarcane
Black,71,42,48,19.13,58.23,252.91,5.62,Rabi,Groundnut
Red,89,39,54,26.95,85.12,273.62,7.38,Kharif,Groundnut
Sandy,96,47,24,24.98,48.01,247.74,6.67,Kharif,Maize
Sandy,81,77,46,20.04,52.17,183.95,6.93,Kharif,Cotton
Red,64,57,57,30.22,64.64,65.41,6.0,Kharif,Cotton
Red,87,37,41,22.82,53.28,177.32,6.41,Rabi,Maize
Loamy,46,68,39,26.76,73.04,229.0,5.53,Kharif,Rice
Clay,56,31,43,30.1,70.34,115.47,5.59,Rabi,Wheat
Loamy,40,30,39,27.25,49.46,124.45,5.63,Zaid,Maize
Loamy,98,61,49,21.95,71.73,89.38,6.36,Kharif,Maize
Loamy,57,64,35,21.16,81.8,159.29,7.09,Rabi,Wheat
Red,96,42,54,18.28,81.49,267.2,6.77,Kharif,Cotton
Loamy,58,67,25,32.8,47.89,138.58,6.57,Rabi,Soybean
Sandy,79,62,58,19.5,73.03,75.7,6.8,Zaid,Maize
Sandy,56,29,31,33.4,86.68,266.8,5.83,Rabi,Soybean
Sandy,47,62,68,29.48,52.73,292.5,6.25,Rabi,Cotton
Black,67,68,22,27.81,67.37,259.29,7.4,Rabi,Rice
Loamy,43,78,35,32.9,85.74,144.74,5.51,Kharif,Sugarcane
Loamy,83,22,41,18.65,43.52,94.54,6.42,Zaid,Sugarcane
Black,81,73,26,25.24,81.96,240.39,6.42,Rabi,Cotton
Loamy,44,32,69,25.99,53.07,101.56,6.62,Rabi,Maize
Red,93,21,61,29.42,85.51,51.4,7.16,Kharif,Groundnut
Sandy,53,43,60,29.35,64.63,161.95,7.25,Kharif,Cotton
Black,65,65,43,33.37,83.74,182.2,6.69,Kharif,Wheat
Sandy,95,50,34,32.98,71.1,78.46,7.41,Kharif,Groundnut
Red,95,28,51,19.31,40.36,78.96,7.18,Zaid,Sugarcane
Sandy,54,60,64,29.83,83.36,72.79,7.22,Zaid,Groundnut
Sandy,64,59,28,31.87,77.58,118.92,6.12,Kharif,Cotton
Red,86,72,49,26.54,47.49,269.32,6.06,Kharif,Soybean
Loamy,47,38,56,26.28,72.76,101.98,6.69,Rabi,Groundnut
Clay,46,63,20,23.16,84.87,81.55,6.63,Rabi,Soybean
Loamy,99,50,37,30.69,69.85,75.48,6.41,Kharif,Cotton
Red,78,55,50,18.55,64.48,119.18,6.79,Zaid,Wheat
Sandy,81,71,27,31.72,44.59,230.32,6.97,Rabi,Soybean
Red,51,33,22,33.96,60.94,208.98,6.81,Rabi,Cotton
Black,43,33,22,33.72,42.6,60.13,6.28,Zaid,Wheat
Clay,72,38,65,18.3,89.97,56.25,6.68,Zaid,Sugarcane
Loamy,89,64,47,22.06,41.24,247.61,5.99,Zaid,Cotton
Clay,51,45,22,26.9,56.31,104.16,5.71,Rabi,Rice
